module,coverage_pct,covered,total
flurm_protocol_pack,76.54,62,81
flurm_protocol_header,73.33,11,15
flurm_pmi_protocol,54.65,47,86
flurm_job_executor,26.22,97,370
flurm_controller_connector,0.47,1,211
flurm_protocol_codec,0.00,0,2028
flurm_protocol_auth,0.00,0,32
flurm_protocol,0.00,0,63
flurm_munge,0.00,0,76
flurm_io_protocol,0.00,0,17
flurm_pmi_task,0.00,0,18
flurm_pmi_sup,0.00,0,4
flurm_pmi_manager,0.00,0,100
flurm_pmi_listener,0.00,0,140
flurm_pmi_kvs,0.00,0,26
flurm_pmi_app,0.00,0,3
flurm_system_monitor,0.00,0,164
flurm_state_persistence,0.00,0,48
flurm_srun_acceptor,0.00,0,395
flurm_node_daemon_sup,0.00,0,23
flurm_node_daemon_app,0.00,0,79
flurm_node_daemon,0.00,0,17
flurm_job_executor_sup,0.00,0,6
flurm_dbd_sync,0.00,0,155
flurm_dbd_sup,0.00,0,47
flurm_dbd_storage,0.00,0,59
flurm_dbd_server,0.00,0,323
flurm_dbd_retention,0.00,0,72
flurm_dbd_ra_effects,0.00,0,6
flurm_dbd_ra,0.00,0,173
flurm_dbd_query,0.00,0,111
flurm_dbd_mysql,0.00,0,262
flurm_dbd_fragment,0.00,0,291
flurm_dbd_app,0.00,0,4
flurm_dbd_acceptor,0.00,0,233
flurm_dbd,0.00,0,32
flurm_db_sup,0.00,0,47
flurm_db_ra_starter,0.00,0,47
flurm_db_ra_effects,0.00,0,102
flurm_db_ra,0.00,0,190
flurm_db_persist,0.00,0,106
flurm_db_cluster,0.00,0,103
flurm_db_app,0.00,0,15
flurm_db,0.00,0,54
flurm_upgrade,0.00,0,146
flurm_tres,0.00,0,64
flurm_trace,0.00,0,123
flurm_test_utils,0.00,0,62
flurm_step_manager,0.00,0,61
flurm_slurm_import,0.00,0,193
flurm_slurm_bridge,0.00,0,227
flurm_simulation,0.00,0,222
flurm_scheduler_advanced,0.00,0,195
flurm_scheduler,0.00,0,409
flurm_reservation,0.00,0,328
flurm_rate_limiter,0.00,0,143
flurm_qos,0.00,0,125
flurm_priority,0.00,0,63
flurm_preemption,0.00,0,284
flurm_power,0.00,0,469
flurm_partition_registry,0.00,0,114
flurm_partition,0.00,0,49
flurm_node_sup,0.00,0,9
flurm_node_registry,0.00,0,196
flurm_node_manager,0.00,0,31
flurm_node,0.00,0,108
flurm_metrics,0.00,0,281
flurm_limits,0.00,0,174
flurm_license,0.00,0,118
flurm_job_sup,0.00,0,9
flurm_job_registry,0.00,0,74
flurm_job_id,0.00,0,18
flurm_job_dispatcher,0.00,0,29
flurm_job_deps,0.00,0,258
flurm_job_array,0.00,0,192
flurm_job,0.00,0,239
flurm_gres,0.00,0,338
flurm_federation,0.00,0,632
flurm_fairshare,0.00,0,98
flurm_diagnostics_sup,0.00,0,8
flurm_diagnostics,0.00,0,123
flurm_core,0.00,0,22
flurm_cloud_scaling,0.00,0,496
flurm_cloud_scaler,0.00,0,204
flurm_chaos,0.00,0,339
flurm_burst_buffer,0.00,0,365
flurm_benchmark,0.00,0,279
flurm_backfill,0.00,0,110
flurm_accounting,0.00,0,18
flurm_account_manager,0.00,0,461
flurm_test_runner,0.00,0,35
flurm_srun_callback,0.00,0,87
flurm_partition_manager,0.00,0,80
flurm_node_manager_server,0.00,0,507
flurm_node_connection_manager,0.00,0,57
flurm_node_acceptor,0.00,0,138
flurm_metrics_http,0.00,0,99
flurm_jwt,0.00,0,88
flurm_job_manager,0.00,0,427
flurm_job_dispatcher_server,0.00,0,95
flurm_federation_api,0.00,0,66
flurm_controller_sup,0.00,0,92
flurm_controller_ra_machine,0.00,0,93
flurm_controller_protocol,0.00,0,47
flurm_controller_handler,0.00,0,1139
flurm_controller_failover,0.00,0,123
flurm_controller_cluster,0.00,0,205
flurm_controller_app,0.00,0,163
flurm_controller_acceptor,0.00,0,292
flurm_connection_limiter,0.00,0,44
flurm_bridge_http,0.00,0,143
flurm_config_sup,0.00,0,4
flurm_config_slurm,0.00,0,133
flurm_config_server,0.00,0,191
flurm_config_defaults,0.00,0,9
flurm_config_app,0.00,0,2
flurm_config,0.00,0,46
